date,city,temperature,humidity,wind_speed,description
2026-04-23 17:10:56,Ajmer,36.65,11,5.49,Few clouds
2026-04-23 17:11:01,Ajmer,36.65,11,5.49,Few clouds
2026-04-23 17:13:21,Ajmer,36.65,11,5.49,Few clouds
2026-04-23 17:13:23,Ajmer,36.65,11,5.49,Few clouds
2026-04-23 17:13:24,Ajmer,36.65,11,5.49,Few clouds
2026-04-23 17:13:35,London,16.43,54,6.69,Clear sky
2026-04-23 17:13:39,London,16.43,54,6.69,Clear sky
2026-04-23 17:13:43,London,16.43,54,6.69,Clear sky
2026-04-23 17:13:45,London,16.43,54,6.69,Clear sky
2026-04-23 17:13:46,London,16.43,54,6.69,Clear sky
2026-04-23 17:13:48,London,16.43,54,6.69,Clear sky
2026-04-23 17:13:51,London,16.43,54,6.69,Clear sky
2026-04-23 17:13:55,London,16.43,54,6.69,Clear sky
2026-04-23 17:13:57,London,16.43,54,6.69,Clear sky
2026-04-23 17:13:59,London,16.43,54,6.69,Clear sky
2026-04-23 17:14:04,London,16.43,54,6.69,Clear sky
2026-04-23 17:14:08,London,16.74,52,3.58,Clear sky
2026-04-23 17:18:22,Ajmer,36.01,12,5.51,Few clouds
2026-04-24 06:16:25,London,6.29,83,2.68,Few clouds
2026-04-24 06:16:29,London,6.29,83,2.68,Few clouds
2026-04-24 06:16:35,Ajmer,24.99,44,3.05,Clear sky
2026-04-24 06:16:39,Ajmer,24.99,44,3.05,Clear sky
2026-04-24 06:16:40,Ajmer,24.99,44,3.05,Clear sky
2026-04-24 06:16:41,Ajmer,24.99,44,3.05,Clear sky
2026-04-24 06:16:42,Ajmer,24.99,44,3.05,Clear sky
2026-04-24 06:16:44,Ajmer,24.99,44,3.05,Clear sky
2026-04-24 06:16:45,Ajmer,24.99,44,3.05,Clear sky
2026-04-24 06:16:46,Ajmer,24.99,44,3.05,Clear sky
2026-04-24 06:16:47,Ajmer,24.99,44,3.05,Clear sky
2026-04-24 06:16:49,Ajmer,24.99,44,3.05,Clear sky
2026-04-24 06:17:09,Ajmer,24.99,44,3.05,Clear sky
2026-04-24 06:47:17,London,6.1,84,2.68,Broken clouds
2026-04-24 06:47:29,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:47:33,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:47:36,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:47:39,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:47:41,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:47:43,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:47:46,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:47:47,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:47:51,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:47:53,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:47:55,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:47:59,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:48:01,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:48:02,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:48:04,Ajmer,24.58,46,3.05,Clear sky
2026-04-24 06:48:08,Ajmer,24.58,46,3.05,Clear sky
